ID,type,time,dayofweek,models,params,queuelen,trials,duration
1178,9,0.413888889,3,21,535,0,40,0
877,9,0.643055556,5,9,2682,0,40,0
4233,13,0.607638889,4,32,3305,0,40,0
4134,8,0.64375,4,3,22023,0,40,0
3598,12,0.519444444,3,8,3707,0,40,0
2409,8,0.657638889,1,2,26584,0,200,0
3001,,0.634722222,2,13,20016,0,40,1
3920,13,0.621527778,2,13,3751,0,40,0
3224,14,0.508333333,1,57,2828,0,40,3
4122,0,0.616666667,1,51,6061,17,40,1
3532,8,0.740277778,1,1,4707,0,20,0
3424,8,0.422916667,4,291,2994,0,40,0
3907,14,0.8625,3,3,1048,0,40,1
4025,14,0.490972222,5,24,13028,0,40,3
183,9,0.399305556,1,7,282,0,40,0
903,9,0.877777778,7,18,232,0,40,0
3547,,0.111805556,6,56,2845,0,400,3
486,14,0.593055556,3,15,3234,0,40,1
1024,13,0.456944444,3,82,2846,0,20,0
2867,,0.608333333,5,15,542,0,250,1
3541,7,0.621527778,3,3,1093,0,40,1
3818,8,0.727083333,2,52,3333,0,40,0
139,14,0.413888889,3,17,3258,0,100,1
3433,5,0.753472222,1,13,6403,0,40,1
2406,9,0.738194444,5,20,1800,0,40,1
3121,,0.678472222,2,1,1297,0,200,2
266,9,0.484722222,4,10,1169,0,40,0
1512,9,0.753472222,1,15,75,0,40,0
2494,0,0.393055556,1,8,2613,92,40,0
3698,,0.707638889,5,8,2801,0,20,1
63,9,0.679861111,1,3,3686,4,40,0
3417,12,0.808333333,1,27,2187,0,40,1
2574,9,0.877777778,7,20,228,0,40,0
1940,9,0.201388889,3,10,142,0,40,0
1322,12,0.713888889,3,27,6702,0,40,2
2086,6,0.7875,4,17,251,1,40,0
2267,14,0.381944444,5,21,3258,13,40,1
4132,13,0.626388889,5,35,1006,0,40,0
1175,5,0.686111111,5,18,12777,2184,40,2
1413,13,0.641666667,4,7,408,0,40,0
2669,14,0.735416667,3,21,3276,0,100,2
3062,13,0.818055556,4,21,5022,0,40,0
2727,3,0.598611111,5,4,,0,200,0
1564,12,0.677777778,5,8,4092,0,40,1
3775,9,0.466666667,4,2,4941,0,400,1
2005,5,0.667592,4,87293,10992,0,40,0
103,8,0.725,4,4,1732,0,40,0
1948,9,0.93125,5,5,3310,0,20,0
3150,9,0.541666667,3,10,2082,0,40,0
4126,7,0.420138889,3,3,1356,0,40,1
1268,9,0.447222222,5,14,1046,0,40,0
508,11,0.765277778,4,31,36267,0,40,0
1971,13,0.398611111,1,7,850,46,40,0
1032,9,0.464583333,3,13,,213,40,1
865,8,0.688888889,3,6,19966,0,40,0
3865,,0.468055556,4,3,1375,0,40,2
2171,14,0.605555556,5,17,3350,2,40,1
1258,8,0.102777778,4,24,25043,0,40,0
3583,4,0.604166667,5,17,2095,0,40,1
279,13,0.588888889,1,33,,167,40,1
2683,8,0.447916667,3,2,18006,0,40,0
3558,3,0.896527778,3,4,522,0,40,0
1784,6,0.744444444,4,8,1953,382,40,1
4211,14,0.758333333,5,17,1279,0,400,3
358,9,0.545138889,7,29,549,0,40,1
3263,8,0.36875,5,5,95566,0,40,0
299,4,0.63125,3,4,436,0,40,0
4002,9,0.877083333,7,11,190,0,40,0
2483,,0.545833333,7,34,535,0,40,1
1912,,0.603472222,3,1,2507,0,40,0
4039,2,0.617361111,4,31,45093,0,40,0
761,13,0.354166667,5,222,409,0,40,2
1578,13,0.423611111,5,8,2416,19,40,0
1395,2,0.740972222,5,13,25506,0,400,1
415,11,0.391666667,1,11,17227,0,40,0
353,7,0.761805556,2,9,3296,0,40,2
3849,,0.620833333,5,20,541,0,400,1
1210,13,0.730555556,2,52,4378,3238,40,1
1159,9,0.577777778,5,3,3700,0,100,0
4216,12,0.478472222,2,2,4588,0,40,1
1187,13,0.359027778,4,62,,1,20,0
2097,9,0.7625,2,9,1290,0,40,0
2860,12,0.520138889,1,6,3412,0,40,1
3520,9,0.545138889,7,26,533,0,40,1
908,13,0.647222222,1,34,2970,14,40,0
2425,2,0.539583333,3,8,74594,0,40,0
2242,9,0.730555556,4,15,143,0,40,0
1448,5,0.579861111,5,10,,0,200,2
3949,9,0.878472222,7,22,218,0,40,0
4232,9,0.722916667,3,3,111,0,40,0
2579,,0.73125,1,27,4691,1,40,0
2222,9,0.563888889,1,24,416,0,40,0
108,14,0.497222222,5,8,969,3,20,1
912,9,0.763194444,2,6,79,726,40,1
2067,9,0.498611111,7,31,815,0,40,0
1502,2,0.398611111,1,8,5448,0,40,0
3687,,0.688888889,5,1,2794,0,40,0
58,14,0.381944444,5,18,3223,16,40,1
76,,0.719444444,2,3,4357,0,40,0
3472,13,0.674305556,3,2,2307,0,40,0
368,12,0.497916667,2,1,605,0,40,0
1652,,0.36875,3,1,,0,200,1
785,9,0.424305556,5,8,858,46,40,0
2728,,0.7,5,7,1676,114,40,0
1231,7,0.54375,1,22,2662,0,40,1
2107,9,0.386805556,4,53,148,4,20,1
3423,11,0.486111111,3,216,20715,0,40,1
4050,8,0.699305556,5,7,27282,0,40,0
1467,8,0.556944444,2,147,94013,0,40,0
4207,6,0.626388889,2,13,4967,0,40,2
2398,9,0.582638889,5,46,,80,40,2
2515,9,0.570138889,4,22,914,1,40,0
2543,7,0.455555556,2,2,648,0,200,2
1074,9,0.466666667,4,2,4883,0,400,1
937,14,0.616666667,5,17,3627,547,40,2
2815,8,0.536111111,4,3,2262,0,40,0
2757,9,0.838194444,7,6,5672,0,20,0
910,11,0.681944444,4,5,80607,0,40,0
124,,0.48125,3,147,2612,0,40,3
2801,9,0.731944444,2,52,1558,3198,40,2
1130,,0.576388889,2,13,9472,185,40,1
817,7,0.906944444,5,13,3710,0,400,3
3459,9,0.4125,5,1,609,0,40,0
1623,13,0.582638889,3,15,9084,0,40,1
2258,14,0.510416667,1,56,2827,0,40,3
2602,9,0.378472222,3,20,3911,0,40,0
2634,8,0.559722222,2,13,130586,0,40,0
429,12,0.564583333,3,62,2909,5,20,1
3368,8,0.608333333,4,10,1557,0,40,0
665,11,0.434027778,1,62,19495,0,40,0
3597,9,0.267361111,2,11,3718,0,40,0
3382,9,0.763194444,4,31,1796,0,40,0
2992,7,0.415972222,5,5,,2,40,0
4077,13,0.654861111,2,10,10280,75,40,1
442,11,0.413888889,5,2,22459,0,40,0
2907,9,0.545138889,7,32,499,0,40,1
3411,7,0.442361111,3,31,3070,0,40,1
3603,9,0.547222222,3,3,1239,0,40,0
4303,,0.615277778,4,3,913,0,40,0
433,12,0.004166667,3,3,3042,0,40,1
3381,11,0.44375,1,7,46469,0,40,0
1844,,0.606944444,4,26,3427,138,40,2
387,7,0.652083333,3,31,1450,0,40,0
30,,0.513194444,3,1,974,0,40,0
1029,9,0.545138889,7,42,490,0,40,1
3483,12,0.586111111,5,5,9110,0,40,2
203,11,0.568055556,5,10,79587,0,200,1
2834,13,0.699305556,4,6,7458,126,40,1
2268,14,0.420138889,2,13,,0,40,2
1323,14,0.577777778,1,23,9926,7,40,1
1299,11,0.695138889,3,184,396701,0,40,3
4252,9,0.004861111,1,33,542,0,40,1
324,12,0.706944444,5,16,3680,4,40,1
2320,0,0.478472222,2,12,3790,0,40,1
805,12,0.463194444,1,14,1388,3,20,3
1116,9,0.545138889,7,31,489,0,40,1
1104,12,0.630555556,5,35,1022,0,40,1
2091,8,0.421527778,5,5,18902,0,40,0
3410,9,0.611805556,4,7,,0,40,0
1006,14,0.750694444,3,21,,42,100,2
2661,9,0.443055556,2,2,2608,21,40,0
3721,,0.577083333,2,13,65647,0,40,0
2554,9,0.209027778,3,10,227,0,40,0
1666,9,0.572916667,4,12,2130,0,40,0
6,12,0.726388889,5,3,8534,1,40,1
932,5,0.681944444,4,27,3457,3,22,1
439,9,0.738194444,5,21,969,0,40,0
1480,14,0.440277778,3,21,3231,0,100,1
1714,7,0.453472222,4,3,671,0,40,1
3937,14,0.525694444,1,57,4301,0,40,3
3002,9,0.717361111,3,16,1277,0,400,2
1659,13,0.567361111,5,9,7545,0,200,1
3288,13,0.360416667,4,62,2908,9,20,0
194,4,0.677777778,5,8,980,0,40,0
2029,9,0.545833333,7,27,518,0,40,1
2274,14,0.444444444,3,20,3018,391,100,2
1398,,0.536111111,6,5,2837,0,40,0
2942,,0.175,2,222,9378,0,40,2
1392,11,0.579166667,2,31,26879,0,40,0
2208,9,0.695833333,2,4,519,0,40,0
222,2,0.207638889,2,220,16692,0,40,2
1117,14,0.776388889,1,17,2285,0,40,1
573,9,0.627083333,4,17,116,2,40,0
4209,12,0.426388889,5,1,1513,0,40,0
4322,14,0.793055556,4,17,3300,1,40,1
418,9,0.545138889,7,25,526,0,40,1
3657,14,0.470833333,3,21,3271,7,100,1
257,14,0.443055556,3,21,3066,88,100,2
295,2,0.435416667,3,1,18352,0,40,0
2707,13,0.674305556,1,34,10853,10,40,1
1434,,0.413194444,5,1,1642,0,40,0
3671,7,0.663194444,4,1,627,0,200,2
1253,,0.765277778,2,21,3259,0,40,1
3517,14,0.692361111,3,9,,0,40,0
712,5,0.459027778,3,1,3263,0,40,0
1937,9,0.553472222,4,22,886,1,40,0
1344,,0.472916667,3,20,3056,214,100,2
2974,,0.48125,1,1,387,0,40,0
449,14,0.528472222,1,56,4295,0,40,3
2716,13,0.700694444,1,27,3190,19,40,1
4157,7,0.507638889,4,222,221,0,40,2
958,,0.631944444,3,8,2749,1,20,0
1183,,0.823611111,1,16,4433,0,40,0
654,7,0.629166667,4,10,212,0,40,0
1158,12,0.010416667,7,2,3015,0,40,1
1738,,0.677083333,5,217,1266,0,40,2
411,9,0.586805556,1,7,1152,0,40,0
1351,8,0.440277778,3,31,,0,40,0
1572,12,0.385416667,3,1,2313,0,40,0
1919,12,0.005555556,4,3,3012,0,40,1
1615,,0.672916667,2,1,1308,0,200,0
3468,14,0.740972222,3,16,1290,0,400,3
2694,9,0.380555556,4,10,510,0,40,0
2702,14,0.591666667,1,28,4988,0,40,1
430,14,0.469444444,2,13,,0,400,3
3988,6,0.565277778,3,62,933,17,20,0
2210,12,0.444444444,3,1,1703,0,40,0
2024,14,0.440277778,1,21,3273,41,100,1
1775,13,0.429861111,5,9,2745,1,20,0
3998,13,0.467361111,2,1,179,0,40,0
102,5,0.902777778,2,46,1222,0,40,0
2471,9,0.327777778,1,13,1585,0,40,0
1438,12,0.627777778,1,51,6232,12,40,2
